,company,location,title,salary,link,skills
85,Finn Partners,Marketing Data Engineer,"New York, NY 10022 (Midtown area)",Not specified,https://www.indeed.com/rc/clk?jk=68343cea4dc12a23&fccid=77ea1c0888389a67&vjs=3,"{'R', 'SQL', 'TABLEAU'}"
86,Slalom Consulting,Data Engineer,"Westchester County, NY",Not specified,https://www.indeed.com/rc/clk?jk=9d1b569957e6bcd6&fccid=a321096b9f1b3c50&vjs=3,"{'R', 'SQL'}"
87,PartnerCubed,Data Engineer / Architect,"New York, NY",Not specified,https://www.indeed.com/company/PartnerCubed/jobs/Data-Engineer-7f4f6663584ac1b4?fccid=b22b472af65e531b&vjs=3,{'SQL'}
88,NBCUniversal,Act Two Program - Data Engineer,"New York, NY",Not specified,https://www.indeed.com/rc/clk?jk=324436e84cf0d595&fccid=35d653c09c2712b6&vjs=3,set()
89,Capsule,Senior Data Engineer,"New York, NY",Not specified,https://www.indeed.com/rc/clk?jk=2e25e6f39ecbb25f&fccid=b77958ae99ad580a&vjs=3,{'SQL'}
90,Healthfirst,Data Engineer,"New York, NY",Not specified,https://www.indeed.com/rc/clk?jk=5b0003520379caa2&fccid=33b2d0072564c18e&vjs=3,{'SQL'}
91,Brace,Data Engineer,"New York, NY",Not specified,https://www.indeed.com/rc/clk?jk=4e42a2fe503f3908&fccid=56a533f696bc13cb&vjs=3,{'SQL'}
92,DailyPay Inc,Data Analytics Engineer,"New York, NY",Not specified,https://www.indeed.com/rc/clk?jk=d5da0992516987ea&fccid=6a543eeebca5ee42&vjs=3,"{'SQL', 'TABLEAU'}"
93,JUST Capital,Data Engineer,"New York, NY 10016 (Gramercy area)",Not specified,https://www.indeed.com/rc/clk?jk=a9fb7a632163e61b&fccid=8398dccfd275c49f&vjs=3,{'SQL'}
94,MarketAxess,Data Engineer (Consultant),"New York, NY 10001 (Chelsea area)",Not specified,https://www.indeed.com/rc/clk?jk=1646834e1424d3c9&fccid=8887e5b75bc5ade9&vjs=3,set()
95,Conde Nast,Senior Data Engineer,"New York, NY",Not specified,https://www.indeed.com/rc/clk?jk=df2184cfcbf877fe&fccid=7ca1385998532a85&vjs=3,{'SQL'}
96,The New York Times,Senior Data Engineer,"New York, NY",Not specified,https://www.indeed.com/rc/clk?jk=9764e1c33ea59ac7&fccid=1b50fcfb150b1b48&vjs=3,{'SQL'}
97,TCS,Integration Engineer - Cloud/Data,"New York, NY","$100,000 - $120,000 a year",https://www.indeed.com/company/TCS/jobs/Integration-Engineer-ed54e5bad521ea91?fccid=c78fdfc4443d4537&vjs=3,{'SQL'}
98,Albert,"Data Engineer (LA, NYC, or Remote US)","New York, NY",Not specified,https://www.indeed.com/rc/clk?jk=a1d2438864a9ef2b&fccid=bc832c51931d303b&vjs=3,set()
99,Cepheid,Sr Data Engineer,"New York, NY 10001 (Chelsea area)",Not specified,https://www.indeed.com/rc/clk?jk=ea559d33f81f30f3&fccid=2dc2f35c3405a529&vjs=3,set()
100,KPMG,Senior Data Engineer,"New York, NY",Not specified,https://www.indeed.com/rc/clk?jk=3f5cab6661165003&fccid=2dd390c3a48a7ed0&vjs=3,set()
101,YipitData,Software Engineer II - Data Engineering (Backend Engineer),New York State,Not specified,https://www.indeed.com/rc/clk?jk=6a2e577f828154f4&fccid=df916c24a229726d&vjs=3,"{'SQL', 'TABLEAU'}"
102,Entera,Data Engineer,"New York, NY",Not specified,https://www.indeed.com/rc/clk?jk=f1a3fc19b6d56aef&fccid=c8e07f37dc242ad2&vjs=3,"{'R', 'SQL'}"
103,Keyrus USA,Lead Data Engineer,"New York, NY 10018 (Clinton area)",Not specified,https://www.indeed.com/rc/clk?jk=a17578125d3884c9&fccid=43ff47202e55e07b&vjs=3,set()
104,Alloy,"Senior Software Engineer, Data Partner Integrations","New York, NY",Not specified,https://www.indeed.com/rc/clk?jk=261a25a21c042ca8&fccid=17deafb845ac1078&vjs=3,{'SQL'}
105,Disney Streaming Services,"Senior Software Engineer, Engineering Data Science","New York, NY",Not specified,https://www.indeed.com/rc/clk?jk=7a0d32d19a41f241&fccid=4b5d257051285786&vjs=3,set()
106,JDRF International,Sr. Data Engineer,"New York, NY",Not specified,https://www.indeed.com/rc/clk?jk=d8501aaaae481534&fccid=27fa7d84937e816b&vjs=3,{'SQL'}
107,"Stage 4 Solutions, inc.",Data Engineer - Data Integration Architect (FTE),"New York, NY",Not specified,https://www.indeed.com/rc/clk?jk=62b99336214e5a86&fccid=663fcf4fb2ab17e0&vjs=3,{'SQL'}
108,DoubleVerify,Data Engineer- Social Integrations,"New York, NY 10018 (Clinton area)",Not specified,https://www.indeed.com/rc/clk?jk=59449aa12523ff29&fccid=1a409fb4e78331ad&vjs=3,{'SQL'}
109,Apollo,Senior Data Engineer/Architect,"Purchase, NY",Not specified,https://www.indeed.com/rc/clk?jk=944e0df85db8d5e2&fccid=155d193bb794626c&vjs=3,{'SQL'}
110,Addepar,Data/Analytics Engineer,New York State,Not specified,https://www.indeed.com/rc/clk?jk=135eca8cd18989b1&fccid=cd9121ddd97de9e8&vjs=3,"{'SQL', 'TABLEAU'}"
111,Goldman Sachs,Lead Data Engineer – QIS Technology,"New York, NY 10282 (Battery Park area)",Not specified,https://www.indeed.com/rc/clk?jk=1c5563d53ae9aae6&fccid=16a97ed26c75bf2d&vjs=3,set()
112,ERGO,Data Intelligence Engineer,"New York, NY 10007 (Financial District area)",Not specified,https://www.indeed.com/rc/clk?jk=8db8e0b7b9ef10bb&fccid=074555cbff44af1b&vjs=3,"{'R', 'SQL'}"
113,StrongArm Technologies,"Engineer, Data",New York State,Not specified,https://www.indeed.com/rc/clk?jk=cf6562831eaad7a8&fccid=0ec0c1548a2fca68&vjs=3,{'SQL'}
114,Chainalysis,"Senior Data Engineer, Data Platform","New York, NY",Not specified,https://www.indeed.com/rc/clk?jk=230d0a39fb137978&fccid=6e3d8a314fe8af80&vjs=3,"{'SQL', 'TABLEAU'}"
115,Spotify,Senior Data Engineer - Creator Studio (Remote Eligible - Americas),"New York, NY",Not specified,https://www.indeed.com/rc/clk?jk=182e87c25040cd39&fccid=fe404d18bb9eef1e&vjs=3,set()
116,Movable Ink,Senior Data Engineer,New York State,Not specified,https://www.indeed.com/rc/clk?jk=b629d96765011f9d&fccid=ac747cfaa2c85912&vjs=3,set()
117,Stash,Data Engineer,New York State,Not specified,https://www.indeed.com/rc/clk?jk=d792b0ab9fcb9465&fccid=6d044ebfc8cbca1f&vjs=3,set()
118,Bloomberg,Senior Data Engineer,"New York, NY",Not specified,https://www.indeed.com/rc/clk?jk=6a6bbc5f9b542e74&fccid=f770da67b3b51c62&vjs=3,set()
119,Oscar Health,"Insurance Operations Engineer, Data","New York, NY 10012 (Little Italy area)",Not specified,https://www.indeed.com/rc/clk?jk=4f297a1b131bea83&fccid=402a1c36c3f1508f&vjs=3,set()
120,CLEAR - Corporate,Data Engineer,"New York, NY",Not specified,https://www.indeed.com/rc/clk?jk=d0870375c9b60f11&fccid=319b94ac5d9475d8&vjs=3,{'SQL'}
121,Gemological Institute of America,Data Scientist (AI/ML Engineer),"New York, NY 10036 (Midtown area)",Not specified,https://www.indeed.com/rc/clk?jk=7e7506cb9af71c3a&fccid=d0753f72179ddc47&vjs=3,set()
122,EXL Services,Data Engineer- Healthcare Analytics,"New York, NY",Not specified,https://www.indeed.com/rc/clk?jk=17bf9d5d83056ee9&fccid=e3e300fc88f0e813&vjs=3,{'SQL'}
123,Boost Insurance Agency,Senior Data Engineer,"New York, NY",Not specified,https://www.indeed.com/rc/clk?jk=45f2d91fd712466e&fccid=a4e05a251fe8a841&vjs=3,{'SQL'}
124,Vimeo,"Principal Engineer, Data","New York, NY",Not specified,https://www.indeed.com/rc/clk?jk=2c369705cace099f&fccid=73a66bd1ffb12cba&vjs=3,{'SQL'}
125,KPMG,"Specialist - Director, Data Engineer","New York, NY",Not specified,https://www.indeed.com/rc/clk?jk=5d88b343e4789372&fccid=2dd390c3a48a7ed0&vjs=3,{'R'}
126,PA Consulting Group,Data Scientist/ML Engineer,"New York, NY 10174 (Turtle Bay area)",Not specified,https://www.indeed.com/rc/clk?jk=5a29bcbe70f386ba&fccid=cf94a2aa6eb7d672&vjs=3,"{'R', 'TABLEAU'}"
127,ThoughtWorks,Principal Data Engineer (remote),"New York, NY 10016 (Flatiron District area)",Not specified,https://www.indeed.com/rc/clk?jk=4ed7b72c9416a680&fccid=3c650abdba68c61a&vjs=3,{'SQL'}
128,Sterling National Bank,"Manager, Data Systems Integration Engineer","White Plains, NY 10601",Not specified,https://www.indeed.com/rc/clk?jk=1bf66cae506dfda7&fccid=b41afca20fb759d9&vjs=3,{'SQL'}
129,Bloomberg,Quality Assurance Engineer - Enterprise Data (Consultant),"New York, NY",Not specified,https://www.indeed.com/rc/clk?jk=24b369503a54ed13&fccid=f770da67b3b51c62&vjs=3,set()
130,Integral Ad Science,Senior Data Engineer - Platform,New York State,Not specified,https://www.indeed.com/rc/clk?jk=b157ac6696fb239c&fccid=1dc32badf02d6835&vjs=3,set()
131,Integral Ad Science,Staff Data Engineer (Streaming),New York State,Not specified,https://www.indeed.com/rc/clk?jk=58a3911dff691097&fccid=1dc32badf02d6835&vjs=3,{'SQL'}
132,Spiceworks,Senior Data Engineer - Spiceworks,"New York, NY 10011 (Chelsea area)",Not specified,https://www.indeed.com/rc/clk?jk=0c5bb21ea36ed990&fccid=1d28766f4d0bf6ff&vjs=3,{'SQL'}
133,AT&T,Software Engineer II – Data Engineering and Reporting,"New York, NY",Not specified,https://www.indeed.com/rc/clk?jk=bdb3793e6ce0e35a&fccid=25b5166547bbf543&vjs=3,{'SQL'}
134,Codecademy,Senior Data Engineer,"New York, NY",Not specified,https://www.indeed.com/rc/clk?jk=92e40adea336b2af&fccid=b9d4e9eceb3ff4c0&vjs=3,"{'R', 'SQL'}"
135,2U,Data Engineer IV,"Brooklyn, NY",Not specified,https://www.indeed.com/rc/clk?jk=2d2d9e5f04e5df9a&fccid=8f236bae1b36b1dc&vjs=3,{'SQL'}
